Player,Age,Team,minutes,Estimated Value
Tosin Adarabioyo,27,Chelsea,1227.0,€24.8M
Tyler Adams,26,Bournemouth,1380.0,€24.5M
Alisson,32,Liverpool FC,1968.0,€24.5M
Jesper Lindstrøm,25,Everton FC,1239.0,€24.4M
Marcus Tavernier,26,Bournemouth,1505.0,€24.4M
Beto,27,Everton FC,1101.0,€24.4M
Orel Mangala,27,Everton FC,1261.0,€24.4M
Jordan Pickford,31,Everton FC,2880.0,€23.8M
Carlos Soler,28,West Ham United,1257.0,€23.3M
James Garner,24,Everton FC,1054.0,€23.2M
Emiliano Martínez,32,Aston Villa,2700.0,€23M
Dean Henderson,28,Crystal Palace,2790.0,€22.7M
Neco Williams,24,Nottingham Forest,2054.0,€22.6M
Mateus Fernandes,20,Southampton,2409.0,€22.5M
Vitaly Janelt,26,Brentford FC,2250.0,€22.2M
Dara O'Shea,26,Ipswich Town,2582.0,€21.8M
John McGinn,30,Aston Villa,1891.0,€21.6M
Kristoffer Ajer,26,Brentford FC,1363.0,€21.5M
Yasin Ayari,21,Brighton & Hove Albion,1633.0,€21.5M
Jean-Ricner Bellegarde,26,Wolves,1479.0,€21.3M
Andrew Robertson,31,Liverpool FC,2218.0,€20.6M
Kevin De Bruyne,33,Manchester City,1279.0,€20.4M
Wilfred Ndidi,28,Leicester City,1885.0,€20.4M
Marcos Senesi,27,Bournemouth,963.0,€20.3M
Trevoh Chalobah,25,Chelsea,1060.0,€20.2M
Jake O'Brien,23,Everton FC,1121.0,€19.7M
Lewis Cook,28,Bournemouth,2572.0,€19.5M
Ederson,31,Manchester City,1960.0,€19.5M
Jack Clarke,24,Ipswich Town,960.0,€19.4M
Ola Aina,28,Nottingham Forest,2569.0,€19.3M
Djed Spence,24,Tottenham,1334.0,€19.2M
Mads Hermansen,24,Leicester City,2205.0,€19.2M
Konstantinos Mavropanos,27,West Ham United,1849.0,€19.1M
Andreas Pereira,29,Fulham FC,1676.0,€18.9M
Nicolás Domínguez,26,Nottingham Forest,1567.0,€18.8M
Aaron Ramsdale,26,Southampton,2160.0,€18.7M
Toti Gomes,26,Wolves,2074.0,€18.6M
Cameron Archer,23,Southampton,1314.0,€18.6M
Kamaldeen Sulemana,23,Southampton,972.0,€18.5M
Mohamed Salah,32,Liverpool FC,2831.0,€18.3M
Yehor Yarmoliuk,21,Brentford FC,964.0,€18M
Jacob Murphy,30,Newcastle United,1893.0,€17.9M
Issa Diop,28,Fulham FC,1339.0,€17.9M
Jack Harrison,28,Everton FC,1747.0,€17.9M
Dominic Calvert-Lewin,28,Everton FC,1574.0,€17.8M
Ryan Yates,27,Nottingham Forest,1742.0,€17.5M
Kalvin Phillips,29,Ipswich Town,1214.0,€17.3M
Timothy Castagne,29,Fulham FC,1522.0,€16.8M
Kyle Walker-Peters,28,Southampton,2648.0,€16.6M
Caleb Okoli,23,Leicester City,1124.0,€16.6M
Virgil van Dijk,33,Liverpool FC,2880.0,€16.6M
James Justin,27,Leicester City,2526.0,€16.4M
Ryan Christie,30,Bournemouth,2117.0,€16.2M
Bernd Leno,33,Fulham FC,2790.0,€16M
Yukinari Sugawara,24,Southampton,1467.0,€15.8M
Chris Richards,25,Crystal Palace,1428.0,€15.7M
James Tarkowski,32,Everton FC,2871.0,€15.5M
